nra,nombre,estado,sector,sustancia,cas,contaminante,emision,year,latitud norte,longitud oeste,municipio,localidad
CAP730600911,"CEMENTOS APASCO, S.A. DE C.V., PLANTA TECOMAN",COLIMA,Cemento y Cal,Mercurio,7439-97-6,suelo,0.0,2018,"18°58'49""","103°52'15""",Tecoman,TECOMAN
CAP730600911,"CEMENTOS APASCO, S.A. DE C.V., PLANTA TECOMAN",COLIMA,Cemento y Cal,"Plomo (polvos respirables, humos o vapores)",7439-92-1,suelo,0.0,2018,"18°58'49""","103°52'15""",Tecoman,TECOMAN
CFEAD0600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,COMPLEJO TERMOELÉCTRICO MANZANILLO",COLIMA,Generación de energia electrica,Arsénico (compuestos),As,suelo,0.0,2018,"19°1'21""","104°19'6""",Manzanillo,MANZANILLO
CFEAD0600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,COMPLEJO TERMOELÉCTRICO MANZANILLO",COLIMA,Generación de energia electrica,Cadmio (compuestos),Cd,suelo,0.0,2018,"19°1'21""","104°19'6""",Manzanillo,MANZANILLO
CFEAD0600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,COMPLEJO TERMOELÉCTRICO MANZANILLO",COLIMA,Generación de energia electrica,Cianuro inorgánico/orgánico,57-12-5,suelo,0.0,2018,"19°1'21""","104°19'6""",Manzanillo,MANZANILLO
CFEAD0600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,COMPLEJO TERMOELÉCTRICO MANZANILLO",COLIMA,Generación de energia electrica,Cromo (compuestos),Cr,suelo,0.0,2018,"19°1'21""","104°19'6""",Manzanillo,MANZANILLO
CFEAD0600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,COMPLEJO TERMOELÉCTRICO MANZANILLO",COLIMA,Generación de energia electrica,Mercurio (compuestos),Hg,suelo,0.0,2018,"19°1'21""","104°19'6""",Manzanillo,MANZANILLO
CFEAD0600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,COMPLEJO TERMOELÉCTRICO MANZANILLO",COLIMA,Generación de energia electrica,Níquel (compuestos),Ni,suelo,0.0,2018,"19°1'21""","104°19'6""",Manzanillo,MANZANILLO
CFEAD0600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,COMPLEJO TERMOELÉCTRICO MANZANILLO",COLIMA,Generación de energia electrica,Plomo (compuestos),Pb,suelo,0.0,2018,"19°1'21""","104°19'6""",Manzanillo,MANZANILLO
CFEM90600711,"COMISIÓN FEDERAL DE ELECTRICIDAD,TERMINAL DE GAS NATURAL LICUADO DE MANZANILLO",COLIMA,Petroleo y petroquimica,Arsénico (compuestos),As,suelo,0.0,2018,"19°0'35""","104°15'33""",Manzanillo,MANZANILLO
